path,bytes
data0.7/data0.7/mcocr_public_145013aagqw.jpg,178795
data0.7/data0.7/mcocr_public_145013aaprl.jpg,129499
data0.7/data0.7/mcocr_public_145013acjke.jpg,104513
data0.7/data0.7/mcocr_public_145013adyee.jpg,167933
data0.7/data0.7/mcocr_public_145013aedmq.jpg,42879
data0.7/data0.7/mcocr_public_145013aeriv.jpg,190486
data0.7/data0.7/mcocr_public_145013alpyf.jpg,171227
data0.7/data0.7/mcocr_public_145013alybg.jpg,95595
data0.7/data0.7/mcocr_public_145013amzul.jpg,193237
data0.7/data0.7/mcocr_public_145013anmiz.jpg,88747
data0.7/data0.7/mcocr_public_145013apigo.jpg,80787
data0.7/data0.7/mcocr_public_145013aqeha.jpg,256919
data0.7/data0.7/mcocr_public_145013aqosh.jpg,109586
data0.7/data0.7/mcocr_public_145013arxqp.jpg,132107
data0.7/data0.7/mcocr_public_145013atlmq.jpg,165576
data0.7/data0.7/mcocr_public_145013atnil.jpg,250417
data0.7/data0.7/mcocr_public_145013aukcu.jpg,228913
data0.7/data0.7/mcocr_public_145013auohz.jpg,136096
data0.7/data0.7/mcocr_public_145013avtwc.jpg,90587
data0.7/data0.7/mcocr_public_145013azaup.jpg,79809
data0.7/data0.7/mcocr_public_145013bajyy.jpg,86336
data0.7/data0.7/mcocr_public_145013bchvc.jpg,136514
data0.7/data0.7/mcocr_public_145013bdnvs.jpg,106544
data0.7/data0.7/mcocr_public_145013bfddt.jpg,101750
data0.7/data0.7/mcocr_public_145013bgfxq.jpg,64478
data0.7/data0.7/mcocr_public_145013bkcgv.jpg,60479
data0.7/data0.7/mcocr_public_145013blbqm.jpg,95343
data0.7/data0.7/mcocr_public_145013bldqx.jpg,138796
data0.7/data0.7/mcocr_public_145013blmgu.jpg,207730
data0.7/data0.7/mcocr_public_145013bomoz.jpg,595104
data0.7/data0.7/mcocr_public_145013borvc.jpg,117943
data0.7/data0.7/mcocr_public_145013bpcpt.jpg,128588
data0.7/data0.7/mcocr_public_145013bsywa.jpg,102475
data0.7/data0.7/mcocr_public_145013bvmvl.jpg,220754
data0.7/data0.7/mcocr_public_145013bxoir.jpg,199285
data0.7/data0.7/mcocr_public_145013bybgv.jpg,83501
data0.7/data0.7/mcocr_public_145013bykuv.jpg,203958
data0.7/data0.7/mcocr_public_145013bynnh.jpg,224875
data0.7/data0.7/mcocr_public_145013byufi.jpg,194363
data0.7/data0.7/mcocr_public_145013cawuf.jpg,158012
data0.7/data0.7/mcocr_public_145013cdjax.jpg,203804
data0.7/data0.7/mcocr_public_145013cezfv.jpg,82319
data0.7/data0.7/mcocr_public_145013cgpey.jpg,234754
data0.7/data0.7/mcocr_public_145013chgcz.jpg,84321
data0.7/data0.7/mcocr_public_145013cixex.jpg,87792
data0.7/data0.7/mcocr_public_145013ckcsv.jpg,106828
data0.7/data0.7/mcocr_public_145013ckejs.jpg,429381
data0.7/data0.7/mcocr_public_145013ckwpd.jpg,76095
data0.7/data0.7/mcocr_public_145013cleap.jpg,100564
data0.7/data0.7/mcocr_public_145013clfsp.jpg,72231
data0.7/data0.7/mcocr_public_145013cllbf.jpg,141611
data0.7/data0.7/mcocr_public_145013clltn.jpg,182424
data0.7/data0.7/mcocr_public_145013cmeru.jpg,82684
data0.7/data0.7/mcocr_public_145013cnknh.jpg,138986
data0.7/data0.7/mcocr_public_145013coalz.jpg,59322
data0.7/data0.7/mcocr_public_145013cqpwh.jpg,107579
data0.7/data0.7/mcocr_public_145013crgek.jpg,167414
data0.7/data0.7/mcocr_public_145013crqqo.jpg,149061
data0.7/data0.7/mcocr_public_145013crsoa.jpg,86662
data0.7/data0.7/mcocr_public_145013cuilp.jpg,105600
data0.7/data0.7/mcocr_public_145013cuwqi.jpg,134515
data0.7/data0.7/mcocr_public_145013cuztb.jpg,170188
data0.7/data0.7/mcocr_public_145013cxcei.jpg,57540
data0.7/data0.7/mcocr_public_145013cxgot.jpg,131001
data0.7/data0.7/mcocr_public_145013cxtop.jpg,67429
data0.7/data0.7/mcocr_public_145013dcdmv.jpg,46950
data0.7/data0.7/mcocr_public_145013dcqda.jpg,128162
data0.7/data0.7/mcocr_public_145013ddcph.jpg,151627
data0.7/data0.7/mcocr_public_145013dfzcb.jpg,241101
data0.7/data0.7/mcocr_public_145013dhnii.jpg,108793
data0.7/data0.7/mcocr_public_145013dkfnl.jpg,89268
data0.7/data0.7/mcocr_public_145013dkgbh.jpg,133870
